Year,Name,Code,State,Population
2008,MISSISSIPPI,MS,28,2899112
2008,MISSOURI,MO,29,5837639
2008,MONTANA,MT,30,946795
2008,NEBRASKA,NE,31,1763765
2008,NEVADA,NV,32,2492427
2008,NEW HAMPSHIRE,NH,33,1311821
2008,NEW JERSEY,NJ,34,8666075
2008,NEW MEXICO,NM,35,1942302
2008,NEW YORK,NY,36,19281988
2008,NORTH CAROLINA,NC,37,8869442
2008,NORTH DAKOTA,ND,38,637460
2008,OHIO,OH,39,11463513
2008,OKLAHOMA,OK,40,3577536
2008,OREGON,OR,41,3691084
2008,PENNSYLVANIA,PA,42,12402817
2008,RHODE ISLAND,RI,44,1061641
2008,SOUTH CAROLINA,SC,45,4330108
2008,SOUTH DAKOTA,SD,46,788467
2008,TENNESSEE,TN,47,6074913
2008,TEXAS,TX,48,23407629
2008,UTAH,UT,49,2579535
2008,VERMONT,VT,50,620778
2008,VIRGINIA,VA,51,7640249
2008,WASHINGTON,WA,53,6374910
2008,WEST VIRGINIA,WV,54,1808699
2008,WISCONSIN,WI,55,5572660
2008,WYOMING,WY,56,512757
2007,ALABAMA,AL,1,4557808
2007,ALASKA,AK,2,663661
2007,ARIZONA,AZ,4,5939292
2007,ARKANSAS,AR,5,2779154
2007,CALIFORNIA,CA,6,36132147
2007,COLORADO,CO,8,4665177
2007,CONNECTICUT,CT,9,3510297
2007,DELAWARE,DE,10,843524
2007,FLORIDA,FL,12,17789864
2007,GEORGIA,GA,13,9072576
2007,HAWAII,HI,15,1275194
2007,IDAHO,ID,16,1429096
2007,ILLINOIS,IL,17,12763371
2007,INDIANA,IN,18,6271973
2007,IOWA,IA,19,2966334
2007,KANSAS,KS,20,2744687
2007,KENTUCKY,KY,21,4173405
2007,LOUISIANA,LA,22,4523628
2007,MAINE,ME,23,1321505
2007,MARYLAND,MD,24,5600388
2007,MASSACHUSETTS,MA,25,6398743
2007,MICHIGAN,MI,26,10120860
2007,MINNESOTA,MN,27,5132799
2007,MISSISSIPPI,MS,28,2921088
2007,MISSOURI,MO,29,5800310
2007,MONTANA,MT,30,935670
2007,NEBRASKA,NE,31,1758787
2007,NEVADA,NV,32,2414807
2007,NEW HAMPSHIRE,NH,33,1309940
2007,NEW JERSEY,NJ,34,8717925
2007,NEW MEXICO,NM,35,1928384
2007,NEW YORK,NY,36,19254630
2007,NORTH CAROLINA,NC,37,8683242
2007,NORTH DAKOTA,ND,38,636677
2007,OHIO,OH,39,11464042
2007,OKLAHOMA,OK,40,3547884
2007,OREGON,OR,41,3641056
2007,PENNSYLVANIA,PA,42,12429616
2007,RHODE ISLAND,RI,44,1076189
2007,SOUTH CAROLINA,SC,45,4255083
2007,SOUTH DAKOTA,SD,46,775933
2007,TENNESSEE,TN,47,5962959
2007,TEXAS,TX,48,22859968
2007,UTAH,UT,49,2469585
2007,VERMONT,VT,50,623050
2007,VIRGINIA,VA,51,7567465
2007,WASHINGTON,WA,53,6287759
2007,WEST VIRGINIA,WV,54,1816856
2007,WISCONSIN,WI,55,5536201
2007,WYOMING,WY,56,509294
2006,ALABAMA,AL,1,4537299
2006,ALASKA,AK,2,668625
2006,ARIZONA,AZ,4,5961239
2006,ARKANSAS,AR,5,2768918
2006,CALIFORNIA,CA,6,35885415
2006,COLORADO,CO,8,4662734
2006,CONNECTICUT,CT,9,3478714
2006,DELAWARE,DE,10,838519
2006,FLORIDA,FL,12,17702476
2006,GEORGIA,GA,13,9093958
2006,HAWAII,HI,15,1264468
2006,IDAHO,ID,16,1424127
2006,ILLINOIS,IL,17,12704063
2006,INDIANA,IN,18,6248569
2006,IOWA,IA,19,2951775
2006,KANSAS,KS,20,2742204
2006,KENTUCKY,KY,21,4165958
2006,LOUISIANA,LA,22,4495627
2006,MAINE,ME,23,1311044
2006,MARYLAND,MD,24,5575552
2006,MASSACHUSETTS,MA,25,6434343
2006,MICHIGAN,MI,26,10093266
2006,MINNESOTA,MN,27,5104890
2006,MISSISSIPPI,MS,28,2898209
2006,MISSOURI,MO,29,5785130
2006,MONTANA,MT,30,934888
2006,NEBRASKA,NE,31,1751069
2006,NEVADA,NV,32,2401671
2006,NEW HAMPSHIRE,NH,33,1300530
2006,NEW JERSEY,NJ,34,8634657
2006,NEW MEXICO,NM,35,1912884
2006,NEW YORK,NY,36,19336376
2006,NORTH CAROLINA,NC,37,8661061
2006,NORTH DAKOTA,ND,38,635222
2006,OHIO,OH,39,11450954
2006,OKLAHOMA,OK,40,3530087
2006,OREGON,OR,41,3621939
2006,PENNSYLVANIA,PA,42,12351881
2006,RHODE ISLAND,RI,44,1064439
2006,SOUTH CAROLINA,SC,45,4249385
2006,SOUTH DAKOTA,SD,46,779315
2006,TENNESSEE,TN,47,5983211
2006,TEXAS,TX,48,22811128
2006,UTAH,UT,49,2501262
2006,VERMONT,VT,50,619282
2006,VIRGINIA,VA,51,7546725
2006,WASHINGTON,WA,53,6254579
2006,WEST VIRGINIA,WV,54,1804020
2006,WISCONSIN,WI,55,5538806
2006,WYOMING,WY,56,506007
2005,ALABAMA,AL,1,4537299
2005,ALASKA,AK,2,668625
2005,ARIZONA,AZ,4,5961239
2005,ARKANSAS,AR,5,2768918
2005,CALIFORNIA,CA,6,35885415
2005,COLORADO,CO,8,4662734
2005,CONNECTICUT,CT,9,3478714
2005,DELAWARE,DE,10,838519
2005,FLORIDA,FL,12,17702476
2005,GEORGIA,GA,13,9093958
2005,HAWAII,HI,15,1264468
2005,IDAHO,ID,16,1424127
2005,ILLINOIS,IL,17,12704063
2005,INDIANA,IN,18,6248569
2005,IOWA,IA,19,2951775
2005,KANSAS,KS,20,2742204
2005,KENTUCKY,KY,21,4165958
2005,LOUISIANA,LA,22,4495627
2005,MAINE,ME,23,1311044
2005,MARYLAND,MD,24,5575552
2005,MASSACHUSETTS,MA,25,6434343
2005,MICHIGAN,MI,26,10093266
2005,MINNESOTA,MN,27,5104890
2005,MISSISSIPPI,MS,28,2898209
2005,MISSOURI,MO,29,5785130
2005,MONTANA,MT,30,934888
2005,NEBRASKA,NE,31,1751069
2005,NEVADA,NV,32,2401671
2005,NEW HAMPSHIRE,NH,33,1300530
2005,NEW JERSEY,NJ,34,8634657
2005,NEW MEXICO,NM,35,1912884
2005,NEW YORK,NY,36,19336376
2005,NORTH CAROLINA,NC,37,8661061
2005,NORTH DAKOTA,ND,38,635222
2005,OHIO,OH,39,11450954
2005,OKLAHOMA,OK,40,3530087
2005,OREGON,OR,41,3621939
2005,PENNSYLVANIA,PA,42,12351881
2005,RHODE ISLAND,RI,44,1064439
2005,SOUTH CAROLINA,SC,45,4249385
2005,SOUTH DAKOTA,SD,46,779315
2005,TENNESSEE,TN,47,5983211
2005,TEXAS,TX,48,22811128
2005,UTAH,UT,49,2501262
2005,VERMONT,VT,50,619282
2005,VIRGINIA,VA,51,7546725
2005,WASHINGTON,WA,53,6254579
2005,WEST VIRGINIA,WV,54,1804020
2005,WISCONSIN,WI,55,5538806
2005,WYOMING,WY,56,506007
2004,ALABAMA,AL,1,4469906
2004,ALASKA,AK,2,642391
2004,ARIZONA,AZ,4,5449195
2004,ARKANSAS,AR,5,2701889
2004,CALIFORNIA,CA,6,34916495
2004,COLORADO,CO,8,4503156
2004,CONNECTICUT,CT,9,3448261
2004,DELAWARE,DE,10,803774
2004,FLORIDA,FL,12,16652679
2004,GEORGIA,GA,13,8583674
2004,HAWAII,HI,15,1227391
2004,IDAHO,ID,16,1341408
2004,ILLINOIS,IL,17,12565228
2004,INDIANA,IN,18,6146974
2004,IOWA,IA,19,2929395
2004,KANSAS,KS,20,2712561
2004,KENTUCKY,KY,21,4086754
2004,LOUISIANA,LA,22,4465215
2004,MAINE,ME,23,1293667
2004,MARYLAND,MD,24,5439327
2004,MASSACHUSETTS,MA,25,6433043
2004,MICHIGAN,MI,26,10037303
2004,MINNESOTA,MN,27,5016643
2004,MISSISSIPPI,MS,28,2858013
2004,MISSOURI,MO,29,5675641
2004,MONTANA,MT,30,909859
2004,NEBRASKA,NE,31,1724236
2004,NEVADA,NV,32,2164518
2004,NEW HAMPSHIRE,NH,33,1270701
2004,NEW JERSEY,NJ,34,8547410
2004,NEW MEXICO,NM,35,1848986
2004,NEW YORK,NY,36,19161573
2004,NORTH CAROLINA,NC,37,8311263
2004,NORTH DAKOTA,ND,38,633521
2004,OHIO,OH,39,11410582
2004,OKLAHOMA,OK,40,3482946
2004,OREGON,OR,41,3517982
2004,PENNSYLVANIA,PA,42,12298775
2004,RHODE ISLAND,RI,44,1065937
2004,SOUTH CAROLINA,SC,45,4102211
2004,SOUTH DAKOTA,SD,46,761709
2004,TENNESSEE,TN,47,5799093
2004,TEXAS,TX,48,21713397
2004,UTAH,UT,49,2334462
2004,VERMONT,VT,50,614994
2004,VIRGINIA,VA,51,7276785
2004,WASHINGTON,WA,53,6055613
2004,WEST VIRGINIA,WV,54,1799392
2004,WISCONSIN,WI,55,5444638
2004,WYOMING,WY,56,496969
2003,ALABAMA,AL,1,4469906
2003,ALASKA,AK,2,642391
2003,ARIZONA,AZ,4,5449195
2003,ARKANSAS,AR,5,2701889
2003,CALIFORNIA,CA,6,34916495
2003,COLORADO,CO,8,4503156
2003,CONNECTICUT,CT,9,3448261
2003,DELAWARE,DE,10,803774
2003,FLORIDA,FL,12,16652679
2003,GEORGIA,GA,13,8583674
2003,HAWAII,HI,15,1227391
2003,IDAHO,ID,16,1341408
2003,ILLINOIS,IL,17,12565228
2003,INDIANA,IN,18,6146974
2003,IOWA,IA,19,2929395
2003,KANSAS,KS,20,2712561
2003,KENTUCKY,KY,21,4086754
2003,LOUISIANA,LA,22,4465215
2003,MAINE,ME,23,1293667
2003,MARYLAND,MD,24,5439327
2003,MASSACHUSETTS,MA,25,6433043
